Species,Straight_Carapace_Length_cm,Straight_Carapace_Width_cm,weight_kg
green,26.7,22,2.6
green,27.3,22,2.6
green,27.3,22,2.6
green,27.3,22,2.6
green,27.3,22,2.6
green,29.3,22.1,2.6
green,29.3,22.1,2.6
green,27.6,22.3,2.6
green,27.6,22.3,2.6
green,27.7,22.3,2.6
green,27.7,22.3,2.6
green,27.7,22.3,2.6
green,27.7,22.3,2.6
green,27.2,22.4,2.6
green,27.2,22.4,2.6
green,28.7,22.5,2.6
green,28.7,22.5,2.6
green,28.7,22.5,2.6
green,28.7,22.5,2.6
green,28.9,23.7,2.6
green,28.9,23.7,2.6
ridley,25.5,23.8,2.6
ridley,25.9,23.9,2.6
green,30.5,25.3,2.6
green,30.5,25.3,2.6
ridley,27.6,27.3,2.6
ridley,26.1,23.5,2.63
green,27.8,22.2,2.7
green,27.8,22.2,2.7
green,27.8,22.2,2.7
green,27.8,22.2,2.7
green,28.1,22.3,2.7
green,27,22.5,2.7
green,27,22.5,2.7
ridley,26.7,23.9,2.7
ridley,25.9,24.2,2.7
green,28.7,21.8,2.75
ridley,26.7,25,2.75
green,28.8,22.2,2.77
green,29.3,22.3,2.79
green,28.7,23.3,2.79
green,28.2,22.1,2.8
green,28.2,22.1,2.8
green,28.2,22.1,2.8
green,28.2,22.1,2.8
green,28.3,22.2,2.8
green,28.3,22.2,2.8
green,28.4,22.3,2.8
green,28.4,22.3,2.8
green,28.6,22.4,2.8
green,28.6,22.4,2.8
green,28.6,22.4,2.8
green,28.6,22.4,2.8
green,28.8,22.4,2.8
green,28.8,22.4,2.8
green,28.8,22.5,2.8
green,28.8,22.5,2.8
green,28.8,22.5,2.8
green,28.8,22.5,2.8
green,28.8,22.5,2.8
green,28.8,22.5,2.8
green,28.8,22.5,2.8
green,28.8,22.5,2.8
green,27.8,22.6,2.8
green,27.8,22.6,2.8
green,27.8,22.6,2.8
green,27.8,22.6,2.8
green,29.6,22.6,2.8
green,29.6,22.6,2.8
green,29.6,22.6,2.8
green,29.6,22.6,2.8
green,28.6,22.7,2.8
green,28.6,22.7,2.8
green,28.1,22.8,2.8
green,28.1,22.8,2.8
green,27.4,22.9,2.8
green,27.4,22.9,2.8
green,28.2,23,2.8
green,28.2,23,2.8
green,28.2,23,2.8
green,28.2,23,2.8
green,27.7,23.3,2.8
green,27.7,23.3,2.8
ridley,26.3,23.4,2.8
green,29.1,23.4,2.8
green,29.1,23.4,2.8
green,27.9,23.6,2.8
green,27.9,23.6,2.8
green,27.9,23.6,2.8
green,27.9,23.6,2.8
green,29.9,23.6,2.8
green,29.9,23.6,2.8
green,28.6,23.7,2.8
green,28.6,23.7,2.8
green,29.3,23.7,2.8
green,29.3,23.7,2.8
green,29.7,23.7,2.8
green,29.7,23.7,2.8
green,29.6,23.8,2.8
green,29.6,23.8,2.8
green,29.8,23.8,2.8
green,29.8,23.8,2.8
green,29,24,2.8
green,29,24,2.8
ridley,26.5,24.6,2.8
ridley,26.7,24.6,2.8
green,30.7,25.1,2.8
green,30.7,25.1,2.8
green,29.8,25.4,2.8
green,29.8,25.4,2.8
green,31.6,26.6,2.8
green,31.6,26.6,2.8
green,33,27.5,2.8
green,33,27.5,2.8
ridley,27.6,25.2,2.87
green,27.1,21.4,2.9
green,27.1,21.4,2.9
green,27.1,21.4,2.9
green,27.1,21.4,2.9
green,29,22.3,2.9
green,29,22.3,2.9
green,29,22.3,2.9
green,29,22.3,2.9
green,28.9,22.4,2.9
green,28.6,23.5,2.9
green,28.6,23.5,2.9
green,28.6,23.5,2.9
green,28.6,23.5,2.9
green,27.7,23.9,2.9
green,27.7,23.9,2.9
green,30,24.5,2.9
green,30,24.5,2.9
ridley,27,24.7,2.9
ridley,28.6,27.3,2.93
green,28.9,21.4,3
green,28.9,21.4,3
green,28.7,22.1,3
green,29.2,22.5,3
green,28.6,23,3
green,28.6,23,3
green,28.6,23,3
green,28.6,23,3
green,28.6,23.1,3
green,28.6,23.1,3
green,28.5,23.2,3
green,28.5,23.2,3
green,29.9,23.5,3
green,29.9,23.5,3
green,29.9,23.5,3
green,29.9,23.5,3
green,28.8,23.6,3
green,28.8,23.6,3
green,29.5,23.7,3
green,29.5,23.7,3
green,28.4,23.8,3
green,28.4,23.8,3
green,29,23.8,3
green,29,23.8,3
green,28.6,23.9,3
green,28.6,23.9,3
green,28.6,23.9,3
green,28.6,23.9,3
green,30.7,23.9,3
green,30.7,23.9,3
green,29.8,24,3
green,29.8,24,3
ridley,26.2,24.1,3
ridley,26.2,24.1,3
ridley,26.2,24.1,3
ridley,26.2,24.1,3
ridley,26.2,24.1,3
ridley,26.2,24.1,3
ridley,26.2,24.1,3
ridley,26.2,24.1,3
green,29.8,24.2,3
green,29.8,24.2,3
green,29.4,24.3,3
green,29.4,24.3,3
green,30,24.4,3
green,30,24.4,3
green,30.1,24.6,3
green,30.1,24.6,3
green,30.1,24.6,3
green,30.1,24.6,3
ridley,26.9,24.8,3
ridley,26.9,24.8,3
ridley,26.9,24.8,3
ridley,26.9,24.8,3
green,31.3,24.8,3
green,31.3,24.8,3
green,29.8,25,3
green,29.8,25,3
ridley,27,25.4,3
green,30.6,25.7,3
green,30.6,25.7,3
ridley,28.5,25.9,3
ridley,28.8,26.3,3
ridley,28.8,26.3,3
ridley,28.3,26.6,3
green,31.8,26.8,3
green,31.8,26.8,3
ridley,27.6,27,3
ridley,31.8,29,3
ridley,31.8,29,3
ridley,31.8,29,3
ridley,31.8,29,3
green,29,32.2,3
green,29,32.2,3
ridley,27.6,25.8,3.02
green,30.3,23.4,3.03
green,28,22.2,3.05
ridley,29.8,26.6,3.05
ridley,27.5,25.1,3.09
green,29.7,23.4,3.1
green,29.4,23.7,3.1
green,29.4,23.7,3.1
green,29.4,23.7,3.1
green,29.4,23.7,3.1
green,29,24.6,3.1
green,29,24.6,3.1
ridley,26.8,25.3,3.1
ridley,28.6,25.6,3.1
ridley,29.1,27.2,3.1
green,35,28.7,3.1
green,35,28.7,3.1
green,35,28.7,3.1
green,35,28.7,3.1
green,29.6,22.7,3.11
hawksbill,29.8,21.3,3.13
ridley,28,26,3.15
ridley,26.8,25.1,3.19
green,27.6,21.4,3.2
green,27.6,21.4,3.2
green,27.6,21.4,3.2
green,27.6,21.4,3.2
green,28.7,22.9,3.2
green,28.7,22.9,3.2
green,28.7,22.9,3.2
green,28.7,22.9,3.2
green,27.5,23.4,3.2
green,27.5,23.4,3.2
